,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
138,dr richard green playground,dr richard green playground,pgs,av,,B-16,POINT (-73.9068 40.66719999999984)
139,east river playground - ps 146,east river playground,pgs,av,,M-11,POINT (-73.93819999999999 40.78939999999984)
140,fort greene park,fort greene park,park_direct,av,,B-02,POINT (-73.97551650652925 40.69152374019517)
141,flushing meadows and corona park - world's fair playground,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
142,joan of arc park,joan of arc park,park_direct,av,,M-14,POINT (-73.97652089469115 40.79415016004114)
143,recreation center - red hook,red hook recreation area,other,av,,B-06,POINT (-74.00569975591829 40.67186885874889)
144,lefferts playground,lefferts playground,park_direct,av,,Q-10,POINT (-73.82125448932561 40.66547836551737)
145,staten island greenbelt park - amundsen trail,greenbelt native plant center,empiric,av,,R-02,POINT (-74.18155504198339 40.5960761085245)
146,van cortlandt classic playground,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
147,pool - metropolitan avenue,metropolitan pool,pool,v,,B-01,POINT (-73.9603 40.71499999999985)
148,recreation center - st. john's,st. john's recreation center,other,av,,B-08,POINT (-73.93475430462256 40.67436985826448)
149,prospect park - breeze hill,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
150,recreation center - chelsea,chelsea recreation center,other,av,,M-04,POINT (-74.002218739494 40.74829842900223)
151,riverside park,riverside park,park_direct,av,,M-14,POINT (-73.95365809523385 40.82606986895416)
152,riverside park,riverside park,park_direct,av,,M-14,POINT (-73.97456126834187 40.79883352294459)
153,marine park,marine park,park_direct,av,,B-18,POINT (-73.92030774448 40.59679830843425)
154,park slope playground,park slope playground,park_direct,av,,B-06,POINT (-73.97855123191664 40.67683338381455)
155,jamie campiz playground,jaime campiz playground,pgs,av,,B-01,POINT (-73.95430000000002 40.71359999999984)
156,golf course - south shore,south shore golf course,golf,av,,R-03,POINT (-74.206118 40.55071999999983)
157,east river park,east river esplanade,other,v,,M-06,POINT (-73.97050186144153 40.74497755416533)
158,east river park,east river esplanade,other,v,,M-11,POINT (-73.93633154901404 40.78963963851412)
159,weeping beech - margaret i carmen green,margaret i. carman green - weeping beech,other,av,,Q-07,POINT (-73.82463948670697 40.76339653774627)
